Type;FSVR-7;
Version;2.23 SP1;
Date;03.Mar 25;
Mode;ANALYZER;
Center Freq;261420.000000;Hz
Freq Offset;0.000000;Hz
Span;1000.000000;Hz
x-Axis;LIN;
Start;260920.000000;Hz
Stop;261920.000000;Hz
Ref Level;-78.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;50.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;5.000000;Hz
VBW;50.000000;Hz
SWT;0.379001;s
Trace Mode;AVERAGE;
Detector;RMS;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;4001;
260920;-114.93317413330078;
260920.25;-114.95832061767578;
260920.5;-114.92513275146484;
260920.75;-114.85643005371094;
260921;-114.83015441894531;
260921.25;-114.73624420166016;
260921.5;-114.62287139892578;
260921.75;-114.52297210693359;
260922;-114.46134948730469;
260922.25;-114.40559387207031;
260922.5;-114.38551330566406;
260922.75;-114.37122344970703;
260923;-114.28029632568359;
260923.25;-114.21030426025391;
260923.5;-114.17420196533203;
260923.75;-114.17647552490234;
260924;-114.18589019775391;
260924.25;-114.18482971191406;
260924.5;-114.14543151855469;
260924.75;-114.10520935058594;
260925;-114.08096313476562;
260925.25;-114.04739379882812;
260925.5;-114.05326843261719;
260925.75;-114.06417846679687;
260926;-114.06385040283203;
260926.25;-114.07128143310547;
260926.5;-114.10232543945312;
260926.75;-114.12083435058594;
260927;-114.13702392578125;
260927.25;-114.16627502441406;
260927.5;-114.21865081787109;
260927.75;-114.24118041992187;
260928;-114.26213836669922;
260928.25;-114.29893493652344;
260928.5;-114.35560607910156;
260928.75;-114.39476013183594;
260929;-114.40920257568359;
260929.25;-114.40184783935547;
260929.5;-114.40211486816406;
260929.75;-114.38187408447266;
260930;-114.37554931640625;
260930.25;-114.35427093505859;
260930.5;-114.37055206298828;
260930.75;-114.41446685791016;
260931;-114.42988586425781;
260931.25;-114.4600830078125;
260931.5;-114.44833374023437;
260931.75;-114.47354888916016;
260932;-114.4239501953125;
260932.25;-114.33770751953125;
260932.5;-114.27329254150391;
260932.75;-114.22820281982422;
260933;-114.19113922119141;
260933.25;-114.19746398925781;
