# Stitching = 3799; 7598; 11397; 15196; 18995; 22794; 26593; 30392; 34191; 37990; 3799; 7598; 11397; 15196; 18995; 22794; 26593; 30392; 34191; 37990; 3799; 7598; 3799; 7598; 11397; 15196; 18995; 22794; 3799; 7598; 3799; 7598; 11397; 15196; 18995; 22794; 3799; 7598; 11397; 15196; 18995; 22794; 3799; 7598; 11397; 15196; 18995; 22794; 3799; 7598; 11397; 15196; 18995; 22794; 3799; 7598; 3799; 7598; 11397; 15196; 18995; 
# Stitching = 3799; 7598; 11397; 15196; 18995; 22794; 26593; 30392; 34191; 37990; 3799; 7598; 11397; 15196; 18995; 22794; 26593; 30392; 34191; 37990; 3799; 7598; 3799; 7598; 11397; 15196; 18995; 22794; 3799; 7598; 3799; 7598; 11397; 15196; 18995; 22794; 3799; 7598; 11397; 15196; 18995; 22794; 3799; 7598; 11397; 15196; 18995; 22794; 3799; 7598; 11397; 15196; 18995; 22794; 3799; 7598; 3799; 7598; 11397; 15196; 18995; 22794; 26593; 
# x-label = Wavelength [nm]
# y-label = Intensity
725.4458257632477  -14
725.4534858549513  8
725.4611459466548  -19
725.4688060383584  13
725.4764661300619  1
725.4841262217655  -3
725.491786313469  18
725.4994464051725  -15
725.5071064968762  -6
725.5147665885797  3
725.5224266802833  -7
725.5300867719868  0
725.5377468636904  12
725.5454069553939  -12
725.5530670470974  -28
725.560727138801  4
725.5683872305045  -32
725.5760473222081  2
725.5837074139117  24
725.5913675056153  -20
725.5990275973188  21
725.6066876890224  -26
725.6143477807259  -5
725.6220078724294  28
725.629667964133  -20
725.6373280558365  5
725.6449881475401  17
725.6526482392437  1
725.6603083309473  6
725.6679684226508  19
725.6756285143543  11
725.6832886060579  -8
725.6909486977614  -11
725.698608789465  -27
725.7062688811685  -34
725.713928972872  -36
725.7215890645756  -5
725.7292491562793  6
725.7369092479828  -13
725.7445693396863  11
725.7522294313899  41
725.7598895230934  -45
725.767549614797  -50
725.7752097065005  -22
725.782869798204  -8
725.7905298899076  -6
725.7981899816111  4
725.8058500733148  -57
725.8135101650183  -22
725.8211702567219  10
725.8288303484254  -22
725.836490440129  18
725.8441505318325  -3
725.851810623536  -19
725.8594707152396  26
725.8671308069431  -25
725.8747908986468  -13
725.8824509903503  27
725.8901110820539  30
725.8977711737574  -8
725.905431265461  51
725.9130913571645  -2
725.920751448868  6
725.9284115405716  -40
725.9360716322751  25
725.9437317239787  -31
725.9513918156823  38
725.9590519073859  -5
725.9667119990894  -9
725.9743720907929  -4
725.9820321824965  -3
725.9896922742  11
725.9973523659036  -28
726.0050124576071  -31
726.0126725493107  -54
726.0203326410142  -26
726.0279927327178  -4
726.0356528244214  1
726.0433129161249  -50
726.0509730078285  -19
726.058633099532  -11
726.0662931912356  20
726.0739532829391  -11
726.0816133746426  -7
726.0892734663462  40
726.0969335580498  -18
726.1045936497534  23
726.1122537414569  -34
726.1199138331605  -4
726.127573924864  -22
726.1352340165676  -22
726.1428941082711  -24
726.1505541999746  14
726.1582142916782  1
726.1658743833817  -22
726.1735344750854  -13
726.1811945667889  3
726.1888546584925  8
726.196514750196  -15
726.2041748418995  -10
726.2118349336031  9
726.2194950253066  11
726.2271551170102  -15
726.2348152087137  3
726.2424753004173  -35
726.2501353921209  1
726.2577954838245  28
726.265455575528  -35
726.2731156672315  -19
726.2807757589351  -2
726.2884358506386  -3
726.2960959423422  -26
726.3037560340457  11
726.3114161257492  -43
726.3190762174528  0
726.3267363091564  35
726.33439640086  -24
726.3420564925635  -6
726.3497165842671  -26
726.3573766759706  -44
726.3650367676742  -26
726.3726968593777  22
726.3803569510812  -31
726.3880170427848  -15
726.3956771344884  13
726.403337226192  0
726.4109973178955  -27
726.4186574095991  7
726.4263175013026  -7
726.4339775930061  36
726.4416376847097  -46
726.4492977764132  -12
726.4569578681168  12
726.4646179598203  3
726.472278051524  25
726.4799381432275  -25
726.487598234931  -41
726.4952583266346  -30
726.5029184183381  24
726.5105785100417  -19
726.5182386017452  13
726.5258986934488  24
726.5335587851523  5
726.5412188768559  -41
726.5488789685595  -84
726.556539060263  -10
726.5641991519666  -37
726.5718592436701  -5
726.5795193353737  -23
726.5871794270772  12
726.5948395187808  -19
726.6024996104843  -6
726.6101597021878  0
726.6178197938915  12
726.625479885595  5
726.6331399772986  36
726.6408000690021  8
726.6484601607057  -40
726.6561202524092  -26
726.6637803441128  -59
726.6714404358163  -21
726.6791005275198  -53
726.6867606192234  -16
726.694420710927  -12
726.7020808026306  7
726.7097408943341  -29
726.7174009860377  -10
726.7250610777412  35
726.7327211694447  -22
726.7403812611483  -57
726.7480413528518  -6
726.7557014445554  -56
726.7633615362589  -19
726.7710216279626  37
726.7786817196661  34
726.7863418113697  6
726.7940019030732  -35
726.8016619947767  16
726.8093220864803  -16
726.8169821781838  -16
726.8246422698874  -4
726.8323023615909  -22
726.8399624532946  9
726.8476225449981  26
726.8552826367016  -16
726.8629427284052  -6
726.8706028201087  -54
726.8782629118123  16
726.8859230035158  3
726.8935830952194  -2
726.9012431869229  5
726.9089032786264  -59
726.9165633703301  -42
726.9242234620336  58
726.9318835537372  -7
726.9395436454407  -25
726.9472037371443  -26
726.9548638288478  14
726.9625239205513  -7
726.9701840122549  -32
726.9778441039584  3
726.985504195662  -44
726.9931642873656  12
727.0008243790692  2
727.0084844707727  -19
727.0161445624763  -10
727.0238046541798  1
727.0314647458833  -30
727.0391248375869  -13
727.0467849292904  26
727.054445020994  -28
727.0621051126976  18
727.0697652044012  -19
727.0774252961047  -20
727.0850853878082  9
