ADC Channel - Charge distribution	ADC Counts - Charge distribution
-99.5	0
-98.5	0
-97.5	0
-96.5	0
-95.5	0
-94.5	0
-93.5	0
-92.5	0
-91.5	0
-90.5	0
-89.5	0
-88.5	0
-87.5	0
-86.5	0
-85.5	0
-84.5	0
-83.5	0
-82.5	0
-81.5	0
-80.5	0
-79.5	1
-78.5	0
-77.5	0
-76.5	0
-75.5	0
-74.5	0
-73.5	1
-72.5	1
-71.5	0
-70.5	1
-69.5	2
-68.5	3
-67.5	1
-66.5	5
-65.5	3
-64.5	6
-63.5	7
-62.5	4
-61.5	6
-60.5	6
-59.5	10
-58.5	17
-57.5	20
-56.5	24
-55.5	24
-54.5	34
-53.5	33
-52.5	45
-51.5	53
-50.5	85
-49.5	97
-48.5	108
-47.5	118
-46.5	135
-45.5	177
-44.5	221
-43.5	250
-42.5	294
-41.5	321
-40.5	378
-39.5	413
-38.5	491
-37.5	592
-36.5	646
-35.5	751
-34.5	829
-33.5	919
-32.5	1049
-31.5	1113
-30.5	1300
-29.5	1490
-28.5	1628
-27.5	1707
-26.5	1923
-25.5	2162
-24.5	2443
-23.5	2509
-22.5	2811
-21.5	3107
-20.5	3280
-19.5	3538
-18.5	3758
-17.5	4117
-16.5	4294
-15.5	4477
-14.5	4938
-13.5	5229
-12.5	5505
-11.5	5805
-10.5	6124
-9.5	6320
-8.5	6443
-7.5	6646
-6.5	6953
-5.5	6855
-4.5	7219
-3.5	7336
-2.5	7507
-1.5	7451
-0.5	7348
0.5	7119
1.5	7166
2.5	7083
3.5	6968
4.5	6762
5.5	6584
6.5	6297
7.5	5924
8.5	5771
9.5	5325
10.5	5003
11.5	4884
12.5	4444
13.5	4079
14.5	3795
15.5	3466
16.5	3227
17.5	2876
18.5	2643
19.5	2341
20.5	2016
21.5	1896
22.5	1681
23.5	1485
24.5	1304
25.5	1181
26.5	1000
27.5	902
28.5	802
29.5	662
30.5	642
31.5	526
32.5	434
33.5	410
34.5	310
35.5	254
36.5	240
37.5	227
38.5	177
39.5	153
40.5	145
41.5	129
42.5	115
43.5	100
44.5	87
45.5	70
46.5	78
47.5	72
48.5	58
49.5	58
50.5	61
51.5	52
52.5	59
53.5	51
54.5	46
55.5	44
56.5	40
57.5	45
58.5	43
59.5	41
60.5	52
61.5	40
62.5	43
63.5	38
64.5	31
65.5	55
66.5	39
67.5	43
68.5	37
69.5	37
70.5	31
71.5	26
72.5	38
73.5	35
74.5	27
75.5	43
76.5	30
77.5	33
78.5	29
79.5	39
80.5	33
81.5	42
82.5	39
83.5	41
84.5	38
85.5	24
86.5	29
87.5	37
88.5	29
89.5	31
90.5	34
91.5	34
92.5	34
93.5	36
94.5	43
95.5	40
96.5	36
97.5	35
98.5	32
99.5	39
100.5	24
101.5	34
102.5	41
103.5	42
104.5	41
105.5	35
106.5	27
107.5	25
108.5	32
109.5	26
110.5	42
111.5	38
112.5	45
113.5	46
114.5	31
115.5	41
116.5	30
117.5	31
118.5	34
119.5	37
120.5	37
121.5	38
122.5	25
123.5	29
124.5	34
125.5	37
126.5	45
127.5	34
128.5	33
129.5	45
130.5	35
131.5	33
132.5	43
133.5	44
134.5	33
135.5	36
136.5	33
137.5	47
138.5	43
139.5	51
140.5	51
141.5	48
142.5	44
143.5	61
144.5	58
145.5	60
146.5	63
147.5	72
148.5	70
149.5	93
150.5	96
151.5	124
152.5	117
153.5	125
154.5	148
155.5	176
156.5	206
157.5	236
158.5	260
159.5	294
160.5	342
161.5	377
162.5	434
163.5	440
164.5	544
165.5	641
166.5	671
167.5	775
168.5	845
169.5	995
170.5	1051
171.5	1219
172.5	1313
173.5	1476
174.5	1701
175.5	1696
176.5	2028
177.5	2126
178.5	2310
179.5	2547
180.5	2645
181.5	3055
182.5	3176
183.5	3404
184.5	3667
185.5	4002
186.5	4263
187.5	4427
188.5	4787
189.5	4899
190.5	5270
191.5	5511
192.5	5630
193.5	5974
194.5	6221
195.5	6489
196.5	6599
197.5	6736
198.5	6999
199.5	6975
200.5	7130
201.5	7094
202.5	7040
203.5	7178
204.5	7036
205.5	7237
206.5	6981
207.5	7003
208.5	6854
209.5	6628
210.5	6395
211.5	6187
212.5	6040
213.5	5867
214.5	5505
215.5	5237
216.5	4936
217.5	4612
218.5	4472
219.5	4189
220.5	3836
221.5	3656
222.5	3435
223.5	3322
224.5	2930
225.5	2699
226.5	2554
227.5	2218
228.5	2019
229.5	1906
230.5	1728
231.5	1619
232.5	1440
233.5	1303
234.5	1185
235.5	1094
236.5	1076
237.5	965
238.5	852
239.5	766
240.5	787
241.5	678
242.5	687
243.5	643
244.5	642
245.5	562
246.5	575
247.5	542
248.5	509
249.5	512
250.5	476
251.5	488
252.5	466
253.5	444
254.5	479
255.5	425
256.5	420
257.5	405
258.5	436
259.5	407
260.5	424
261.5	405
262.5	393
263.5	384
264.5	373
265.5	402
266.5	392
267.5	390
268.5	389
269.5	425
270.5	360
271.5	374
272.5	391
273.5	371
274.5	403
275.5	385
276.5	385
277.5	396
278.5	326
279.5	350
280.5	393
281.5	375
282.5	361
283.5	357
284.5	391
285.5	349
286.5	349
287.5	335
288.5	335
289.5	342
290.5	349
291.5	308
292.5	309
293.5	298
294.5	322
295.5	351
296.5	294
297.5	308
298.5	326
299.5	299
300.5	283
301.5	274
302.5	296
303.5	302
304.5	307
305.5	293
306.5	298
307.5	306
308.5	272
309.5	272
310.5	274
311.5	255
312.5	272
313.5	269
314.5	245
315.5	281
316.5	263
317.5	265
318.5	258
319.5	262
320.5	263
321.5	225
322.5	253
323.5	214
324.5	244
325.5	237
326.5	216
327.5	220
328.5	212
329.5	230
330.5	231
331.5	192
332.5	232
333.5	216
334.5	217
335.5	220
336.5	217
337.5	195
338.5	196
339.5	202
340.5	195
341.5	182
342.5	186
343.5	199
344.5	203
345.5	155
346.5	161
347.5	185
348.5	182
349.5	183
350.5	173
351.5	207
352.5	197
353.5	163
354.5	199
355.5	211
356.5	204
357.5	238
358.5	243
359.5	264
360.5	290
361.5	269
362.5	312
363.5	311
364.5	328
365.5	355
366.5	367
367.5	435
368.5	471
369.5	469
370.5	555
371.5	611
372.5	667
373.5	722
374.5	782
375.5	834
376.5	915
377.5	969
378.5	1039
379.5	1200
380.5	1312
381.5	1317
382.5	1432
383.5	1644
384.5	1718
385.5	1817
386.5	1940
387.5	2062
388.5	2110
389.5	2263
390.5	2339
391.5	2499
392.5	2661
393.5	2809
394.5	2911
395.5	3071
396.5	3141
397.5	3190
398.5	3284
399.5	3401
400.5	3508
401.5	3583
402.5	3699
403.5	3732
404.5	3829
405.5	3847
406.5	3822
407.5	3819
408.5	3883
409.5	3847
410.5	3848
411.5	3781
412.5	3836
413.5	3724
414.5	3614
415.5	3574
416.5	3416
417.5	3286
418.5	3256
419.5	3140
420.5	3018
421.5	2957
422.5	2838
423.5	2729
424.5	2606
425.5	2440
426.5	2286
427.5	2158
428.5	2120
429.5	1966
430.5	1844
431.5	1752
432.5	1638
433.5	1484
434.5	1425
435.5	1414
436.5	1269
437.5	1259
438.5	1095
439.5	1002
440.5	1059
441.5	876
442.5	896
443.5	761
444.5	763
445.5	767
446.5	648
447.5	709
448.5	659
449.5	619
450.5	595
451.5	595
452.5	556
453.5	548
454.5	566
455.5	514
456.5	509
457.5	520
458.5	521
459.5	489
460.5	497
461.5	507
462.5	501
463.5	500
464.5	453
465.5	481
466.5	483
467.5	469
468.5	412
469.5	455
470.5	476
471.5	445
472.5	453
473.5	430
474.5	465
475.5	433
476.5	442
477.5	452
478.5	446
479.5	478
480.5	418
481.5	470
482.5	439
483.5	436
484.5	428
485.5	448
486.5	378
487.5	423
488.5	409
489.5	389
490.5	400
491.5	407
492.5	386
493.5	416
494.5	401
495.5	394
496.5	370
497.5	383
498.5	398
499.5	359
500.5	397
501.5	394
502.5	357
503.5	358
504.5	346
505.5	366
506.5	373
507.5	394
508.5	358
509.5	351
510.5	358
511.5	359
512.5	340
513.5	343
514.5	298
515.5	348
516.5	338
517.5	348
518.5	345
519.5	312
520.5	336
521.5	278
522.5	321
523.5	312
524.5	289
525.5	323
526.5	325
527.5	293
528.5	301
529.5	287
530.5	288
531.5	274
532.5	273
533.5	261
534.5	280
535.5	226
536.5	274
537.5	259
538.5	264
539.5	253
540.5	247
541.5	238
542.5	239
543.5	237
544.5	241
545.5	222
546.5	230
547.5	226
548.5	213
549.5	205
550.5	189
551.5	219
552.5	207
553.5	198
554.5	214
555.5	204
556.5	176
557.5	204
558.5	196
559.5	202
560.5	225
561.5	226
562.5	254
563.5	244
564.5	263
565.5	268
566.5	245
567.5	255
568.5	259
569.5	313
570.5	296
571.5	303
572.5	328
573.5	310
574.5	389
575.5	379
576.5	443
577.5	425
578.5	434
579.5	492
580.5	513
581.5	536
582.5	526
583.5	603
584.5	640
585.5	607
586.5	696
587.5	738
588.5	783
589.5	814
590.5	871
591.5	857
592.5	937
593.5	1015
594.5	1084
595.5	1047
596.5	1166
597.5	1165
598.5	1211
599.5	1298
600.5	1268
601.5	1350
602.5	1400
603.5	1398
604.5	1369
605.5	1433
606.5	1468
607.5	1392
608.5	1488
609.5	1475
610.5	1503
611.5	1445
612.5	1576
613.5	1579
614.5	1585
615.5	1511
616.5	1512
617.5	1525
618.5	1443
619.5	1476
620.5	1465
621.5	1426
622.5	1383
623.5	1330
624.5	1350
625.5	1322
626.5	1213
627.5	1199
628.5	1180
